diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
5.26560957682054,30.415314727292387,-85.5069851768104,sfs,,0.15388927588628576,0.029,40000000,-2865.745918878032,-2641.076761138938,2.63280478841027
7.967208010619907,30.427161651055027,-85.50701737046084,sfs,,0.38390273302229616,0.048,53000000,-2837.5898733681793,-2641.4649818818493,3.9836040053099535
4.723596186715833,30.41925643724879,-85.50550372073995,sfs,,0.42509583149148966,0.09,1000000,-2857.3244326693434,-2595.9676129425707,2.3617980933579164
3.8389497328102977,30.424159908853117,-85.50555153344374,sfs,,0.3954827260486127,0.103,0,-2845.6449299861333,-2597.1738694829405,1.9194748664051489
6.523564231298767,30.425632574642776,-85.50610003894799,sfs,,0.18985487909412768,0.029,46000000,-2841.8001900476706,-2613.729945405763,3.2617821156493836
3.5208056178827354,30.41811133015346,-85.50618905629254,sfs,,0.16522627053018368,0.047,21000000,-2859.6096985489503,-2616.801706079655,1.7604028089413677
26.108928810722922,30.421940216409002,-85.50580517607547,sfs,,2.0514552664335497,0.079,172000000,-2850.75770144796,-2604.973496967198,13.054464405361461
7.485271356198649,30.43468904702891,-85.50606098815446,sfs,,0.5550301168623264,0.074,27000000,-2820.3117521310733,-2612.099957452802,3.7426356780993246
4.182452552024644,30.431897428334903,-85.50715211818121,sfs,,0.17602423002063006,0.042,30000000,-2826.2581387373248,-2645.316770739533,2.091226276012322
5.0024040810563974,30.444160543180434,-85.50652281846018,sfs,,0.23122832400076732,0.046,35000000,-2797.5258168138225,-2625.6383688809747,2.5012020405281987
3.8619078109403526,30.43943513526004,-85.5057324852566,sfs,,0.19506167792133056,0.051,18000000,-2809.242595274792,-2601.9083215454966,1.9309539054701763
4.276206274842199,30.434392578235258,-85.5078159562307,sfs,,0.248416382843061,0.058,19000000,-2819.9166590007926,-2665.319728419786,2.1381031374210995
3.6172912018716548,30.446684510802438,-85.50855423607487,sfs,,0.122999154064928,0.034,26000000,-2790.271534055991,-2687.1022407351443,1.8086456009358274
4.772646058761101,30.449093835362806,-85.5086266035921,sfs,,0.14027140908001456,0.029,35000000,-2784.5066965804263,-2689.1793667258703,2.3863230293805504
