label,score,col,row,width,height,lon,lat,diameter
crater,0.99,1009,1041,4,4,28.3548316956,-85.1754226685,2
crater,0.99,1107,1048,4,4,28.3930435181,-85.1758346558,2
crater,1,943,1050,4,4,28.3287944794,-85.1755905151,2
crater,0.96,934,1056,4,4,28.3251361847,-85.1757736206,2
crater,1,741,1058,4,4,28.2495384216,-85.1754684448,2
crater,0.97,1183,1058,4,4,28.422580719,-85.1763000488,2
crater,0.96,653,1064,4,4,28.2149562836,-85.1754989624,2
crater,0.99,696,1063,4,4,28.2318096161,-85.1755447388,2
crater,0.96,1088,1065,4,4,28.3852291107,-85.176361084,2
crater,1,755,1066,4,4,28.2548351288,-85.1757583618,2
crater,0.99,667,1067,4,4,28.2203655243,-85.1756210327,2
crater,0.98,979,1072,4,4,28.3423957825,-85.1763839722,2
crater,0.96,680,1074,4,4,28.2252922058,-85.1758804321,2
crater,1,630,1083,4,4,28.2055110931,-85.1760787964,2
crater,0.98,703,1086,4,4,28.2340183258,-85.1763153076,2
crater,0.98,1081,1094,4,4,28.3818473816,-85.1772994995,2
crater,0.98,1192,1096,4,4,28.4252758026,-85.1775665283,2
crater,0.98,933,1099,4,4,28.3237781525,-85.1771850586,2
crater,0.98,1024,1099,4,4,28.359413147,-85.1773605347,2
crater,0.98,1157,1098,4,4,28.411523819,-85.1775741577,2
crater,0.97,510,811,4,4,28.1649475098,-85.166885376,2
crater,0.96,412,818,4,4,28.126493454,-85.1669235229,2
crater,0.99,234,851,4,4,28.0561561584,-85.1676483154,2
crater,0.98,64,875,4,4,27.9891452789,-85.1680831909,2
crater,0.99,106,886,4,4,28.0052852631,-85.1685333252,2
crater,0.97,452,893,4,4,28.1403446198,-85.1694717407,2
crater,0.99,484,905,4,4,28.1525707245,-85.1699295044,2
crater,0.95,554,907,4,4,28.179889679,-85.170135498,2
crater,0.98,561,913,4,4,28.1824855804,-85.1703414917,2
crater,0.96,217,917,4,4,28.047908783,-85.1697845459,2
crater,0.97,421,937,4,4,28.1271800995,-85.1708602905,2
crater,0.99,87,941,4,4,27.99650383,-85.1703033447,2
crater,0.99,558,965,4,4,28.1800956726,-85.1720504761,2
crater,0.99,569,969,4,4,28.1843032837,-85.172203064,2
crater,0.98,485,987,4,4,28.1510238647,-85.1726303101,2
crater,0.99,572,988,4,4,28.1850318909,-85.1728363037,2
crater,0.95,547,990,4,4,28.1752052307,-85.1728515625,2
crater,0.99,466,991,4,4,28.143497467,-85.1727218628,2
crater,0.99,428,1025,4,4,28.127822876,-85.1737670898,2
crater,0.98,64,1029,4,4,27.9853343964,-85.1731567383,2
crater,0.96,449,1031,4,4,28.1358966827,-85.1740036011,2
crater,0.99,78,1034,4,4,27.9906864166,-85.1733474731,2
crater,0.98,196,1035,4,4,28.0368213654,-85.1736221313,2
crater,0.99,441,1042,4,4,28.1325054169,-85.1743545532,2
crater,0.99,440,1047,4,4,28.1319961548,-85.1745147705,2
crater,1,473,1049,4,4,28.1448612213,-85.1746444702,2
crater,0.99,245,1060,4,4,28.0553817749,-85.1745452881,2
crater,0.97,96,1063,4,4,27.9970111847,-85.1743392944,2
crater,0.97,142,1081,4,4,28.0145664215,-85.1750259399,2
crater,0.98,42,1089,4,4,27.9752388,-85.1750869751,2
crater,0.99,154,1089,4,4,28.0190658569,-85.1753158569,2
crater,0.97,5,1096,4,4,27.9605884552,-85.175239563,2
crater,0.98,1212,629,4,4,28.44323349,-85.1622314453,2
crater,0.99,1208,636,4,4,28.4415206909,-85.1624526978,2
crater,0.99,1213,672,4,4,28.4426937103,-85.1636505127,2
crater,0.98,1218,683,4,4,28.4444103241,-85.1640167236,2
crater,0.97,1200,691,4,4,28.4372062683,-85.1642456055,2
crater,0.99,1256,764,4,4,28.4575080872,-85.1667556763,2
crater,0.99,1255,775,4,4,28.4568805695,-85.1671142578,2
crater,0.99,1267,777,4,4,28.4615268707,-85.1672058105,2
crater,1,1258,788,4,4,28.4577732086,-85.1675491333,2
crater,0.96,1262,795,4,4,28.459186554,-85.1677856445,2
crater,1,1038,402,4,4,28.3803043365,-85.1544342041,2
crater,0.99,689,405,4,4,28.2442188263,-85.1538696289,2
crater,0.99,704,406,4,4,28.2500419617,-85.1539306641,2
crater,0.97,1030,410,4,4,28.3770103455,-85.1546859741,2
crater,1,913,412,4,4,28.3313598633,-85.1545333862,2
crater,0.99,1041,420,4,4,28.3810768127,-85.1550369263,2
crater,0.99,983,423,4,4,28.3584022522,-85.1550216675,2
crater,0.98,1068,426,4,4,28.3914718628,-85.1552810669,2
crater,0.98,1064,426,4,4,28.3899116516,-85.1552734375,2
crater,0.99,889,429,4,4,28.3216247559,-85.1550445557,2
crater,0.96,1110,430,4,4,28.4077587128,-85.1554870605,2
crater,0.95,894,439,4,4,28.3233509064,-85.155380249,2
crater,0.99,839,442,4,4,28.3018417358,-85.155380249,2
crater,0.95,860,443,4,4,28.310005188,-85.1554489136,2
crater,0.95,687,444,4,4,28.2425460815,-85.1551513672,2
crater,0.99,782,444,4,4,28.2795772552,-85.1553344727,2
crater,0.98,811,444,4,4,28.2908821106,-85.1553878784,2
crater,1,853,447,4,4,28.3071861267,-85.1555709839,2
crater,1,983,446,4,4,28.3578910828,-85.1557846069,2
crater,0.97,839,447,4,4,28.3017292023,-85.1555404663,2
crater,0.96,659,451,4,4,28.231470108,-85.1553268433,2
crater,0.99,1079,451,4,4,28.3952121735,-85.1561279297,2
crater,0.99,680,451,4,4,28.2396564484,-85.1553649902,2
crater,0.98,746,452,4,4,28.2653617859,-85.1555328369,2
crater,0.98,871,455,4,4,28.3140239716,-85.1558685303,2
